Slice Item ;Raw material Item ;;Qté;Qté Unit ;Unit ;;Site 59;;;;;;
M200002;BW00376;BOM_M200002_01;27.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200004;BW00376;BOM_M200004_01;24.1450000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200008;BW00375;BOM_M200008_01;17.7950000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200031;BW00049;BOM_M200031-04;6.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200032;BW00065;BOM_M200032_CR85;9.4200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200033;BW00228;BOM_M2000133-08;10.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200034;BW00049;BOM_M200034-05;11.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200035;BW00228;BOM-M200035-08;11.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200036;C107478;BOM_M200036-06 BLOC  C107478;0.4567000000000000;1.0000000000000000;in;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200038;BW00185;BOM_M200038_CR85;15.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200039;BW00306;BOM_M200039-03;15.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200040;BW00065;BOM_M200040-01;17.2000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200041;BW00065;BOM_M200041_CR85;17.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200042;BW00227;BOM_M200042-02;26.5300000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200164;BW00065;M200164;15.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov FG;;
M200181;BW00353;BOM_M200181_CR85_2;15.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200182;BW00228;BOM_M200182-02;6.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200183;BW00354;BOM_M200183_CR85;15.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;vv
M200184;BW00065;BOM_M200184-01;17.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200185;BW00353;BOM_M200185-01;42.1300000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200186;BW00353;BOM_M200186-01;27.1300000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;Cov Slice;;
M200188;BW00065;BOM_M200188-01;15.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200189;BW00228;BOM_M200189-02;15.6000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200600;BW00128;BOM_M200600_CR85;16.5200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200601;BW00376;BOM_M200601_CR85;11.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M200602;BW00375;BOM_M200602_CR85;16.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202001;BW00377;BOM-M202001-01;18.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202003;BW00334;BOM_M202003-01;32.1300000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202004;BW00379;BOM_M202004-01;11.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202005;BW00379;BOM-M202005-01;16.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202006;BW00379;BOM_M202006-01;21.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202007;BW00378;BOM_M202007-01;17.0000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202008;BW00175;BOM_M202008-01;22.3680000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202009;BW00186;BOM_M202009-01;11.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202010;BW00186;BOM_M202010-01;16.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202011;BW00186;BOM_M202011-01;21.9200000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M202050;BW00354;BOM-M202050_01;11.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M202051;BW00228;BOM-M202051_01;11.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M202052;BW00354;bom-M202052_01;16.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M202053;BW00354;BOM-M202053_01;21.3200000000000000;1.0000000000000000;mm;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M206300;BW00126;BOM-M206300_01;56.7000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206301;BW00128;BOM-M206301_01;53.1250000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206302;BW00126;BOM-M206302_01;65.4000000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206304;BW00278;BOM-M206304_01;46.6600000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206306;BW00198;BOM-M206306_01;29.7900000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206308;BW00198;BOM-M206308_01;41.4800000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M206900;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M290032;M200032;BOM_M290032;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290032;BW00065;BOM_M200032_CR85;9.4200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290033;M200033;BOM_M290033;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290033;BW00228;BOM_M2000133-08;10.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290035;M200035;BOM_M290035;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290035;BW00228;BOM-M200035-08;11.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290038;M200038;BOM_M290038;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290038;BW00185;BOM_M200038_CR85;15.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290039;M200181;BOM_M290039;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290039;BW00353;BOM_M200181_CR85_2;15.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290040;M200040;BOM_M290040;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290040;BW00065;BOM_M200040-01;17.2000000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290042;M200042;BOM_M290042;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290042;BW00227;BOM_M200042-02;26.5300000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290181;M200181;BOM_M290181;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290181;BW00353;BOM_M200181_CR85_2;15.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290182;M200182;BOM_M290182-01;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290182;BW00228;BOM_M200182-02;6.9200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290183;M200183;BOM_M290183;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290183;BW00354;BOM_M200183_CR85;15.3200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;HRH-SLICE;;
M290184;M200184;BOM_M290184;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290184;BW00065;BOM_M200184-01;17.9200000000000000;1.0000000000000000;mm;2;Casablanca;INV-FG;Finished Goods;DAHER;Cov Slice;;
M290188;M200188;BOM_M290188-01;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M290188;BW00065;BOM_M200188-01;15.6000000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-SLICE;;
M306900;M206900;BOM_M306900-02;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306900;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306900;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306901;M206900;BOM_M306901-01;0.1000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306901;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306902;M206900;BOM_M306902-02;1.0000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306902;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306902;BW00389;BOM_M206900_03;20.8500000000000000;1.0000000000000000;mm;2;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
M306903;M206900;BOM_M306903-01;0.1000000000000000;1.0000000000000000;Pcs;1;Casablanca;INV-INT;Intermediates;DAHER;HRH-Manual;;
