Item,Charge (h),Shifts (1 op),Opérateurs nécessaires,Priorité EDD,Opérateurs capables
M400228,182.0,24.266666666666666,5,1,"OP1, OP2, OP8"
M400229,171.6,22.88,4,1,"OP1, OP2"
M400201,108.9,14.520000000000001,3,1,"OP1, OP2"
M400200,38.0,5.066666666666666,1,1,"OP1, OP2, OP7"
M500325,45.0,6.0,1,2,"OP3, OP7"
M500304,36.0,4.8,1,2,OP3
M500316,33.75,4.5,1,2,OP3
M500309,2.85,0.38,1,2,"OP3, OP7"
M500324,62.4,8.32,2,3,"OP4, OP8"
M500319,29.25,3.9,1,3,"OP4, OP8"
M502026,2.25,0.3,1,3,OP6
M500317,31.5,4.2,1,4,OP4
M502239,11.4,1.52,1,4,OP6
M500329,10.8,1.4400000000000002,1,4,OP5
M500318,7.8,1.04,1,4,OP4
M500327,62.400000000000006,8.32,2,5,OP5
M500311,31.200000000000003,4.16,1,5,OP5
M500328,20.25,2.7,1,5,OP5
