Jour,Shift,Item,Quantité à produire,Quantité restante,Priorité EDD
1,1,M400228,3,32,1
1,2,M400228,3,29,1
1,3,M400228,3,26,1
2,4,M400228,3,23,1
2,5,M400228,3,20,1
2,6,M400228,3,17,1
3,7,M400228,3,14,1
3,8,M400228,3,11,1
3,9,M400228,3,8,1
4,10,M400228,3,5,1
4,11,M400228,3,2,1
4,12,M400228,2,0,1
5,13,M400229,3,30,1
5,14,M400229,3,27,1
5,15,M400229,3,24,1
6,16,M400229,3,21,1
6,17,M400229,3,18,1
6,18,M400229,3,15,1
7,19,M400229,3,12,1
7,20,M400229,3,9,1
7,21,M400229,3,6,1
8,22,M400229,3,3,1
8,23,M400229,3,0,1
8,24,M400201,2,20,1
9,25,M400201,2,18,1
9,26,M400201,2,16,1
9,27,M400201,2,14,1
10,28,M400201,2,12,1
10,29,M400201,2,10,1
10,30,M400201,2,8,1
11,31,M400201,2,6,1
11,32,M400201,2,4,1
11,33,M400201,2,2,1
12,34,M400201,2,0,1
12,35,M400200,2,17,1
12,36,M400200,2,15,1
13,37,M400200,2,13,1
13,38,M400200,2,11,1
13,39,M400200,2,9,1
14,40,M400200,2,7,1
14,41,M500325,4,16,2
14,42,M500325,4,12,2
15,43,M500325,4,8,2
15,44,M500325,4,4,2
15,45,M500325,4,0,2
16,46,M500304,6,10,2
16,47,M500304,6,4,2
16,48,M500304,4,0,2
17,49,M500316,8,7,2
17,50,M500316,7,0,2
17,51,M500309,1,0,2
18,52,M500324,10,22,3
18,53,M500324,10,12,3
18,54,M500324,10,2,3
19,55,M500324,2,0,3
19,56,M500319,10,5,3
19,57,M500319,5,0,3
20,58,M502026,1,0,3
20,59,M500317,5,9,4
20,60,M500317,5,4,4
21,61,M500317,4,0,4
21,62,M502239,4,0,4
21,63,M500329,4,0,4
22,64,M500318,4,0,4
22,65,M500327,4,8,5
22,66,M500327,4,4,5
23,67,M500327,4,0,5
23,68,M500311,5,1,5
23,69,M500311,1,0,5
24,70,M500328,4,5,5
24,71,M500328,4,1,5
24,72,M500328,1,0,5
