Jour,Shift,Opérateur,Item,Quantité,Priorité EDD
1,1,OP1,M400228,3,1
1,1,OP2,M400228,3,1
1,1,OP8,M400228,3,1
1,2,OP1,M400228,3,1
1,2,OP2,M400228,3,1
1,2,OP8,M400228,3,1
1,3,OP1,M400228,3,1
1,3,OP2,M400228,3,1
1,3,OP8,M400228,3,1
2,1,OP1,M400228,3,1
2,1,OP2,M400228,3,1
2,1,OP8,M400228,2,1
2,2,OP1,M400229,3,1
2,2,OP2,M400229,3,1
2,3,OP1,M400229,3,1
2,3,OP2,M400229,3,1
3,1,OP1,M400229,3,1
3,1,OP2,M400229,3,1
3,2,OP1,M400229,3,1
3,2,OP2,M400229,3,1
3,3,OP1,M400229,3,1
3,3,OP2,M400229,3,1
4,1,OP1,M400229,3,1
4,1,OP2,M400201,2,1
4,2,OP1,M400201,2,1
4,2,OP2,M400201,2,1
4,3,OP1,M400201,2,1
4,3,OP2,M400201,2,1
5,1,OP1,M400201,2,1
5,1,OP2,M400201,2,1
5,2,OP1,M400201,2,1
5,2,OP2,M400201,2,1
5,3,OP1,M400201,2,1
5,3,OP2,M400201,2,1
5,3,OP7,M400200,2,1
6,1,OP1,M400200,2,1
6,1,OP2,M400200,2,1
6,1,OP7,M400200,2,1
6,2,OP1,M400200,2,1
6,2,OP2,M400200,2,1
6,2,OP7,M400200,2,1
6,3,OP1,M400200,2,1
6,3,OP2,M400200,2,1
6,3,OP7,M400200,1,1
6,3,OP3,M500325,4,2
7,1,OP3,M500325,4,2
7,1,OP7,M500325,4,2
7,2,OP3,M500325,4,2
7,2,OP7,M500325,4,2
7,3,OP3,M500304,6,2
8,1,OP3,M500304,6,2
8,2,OP3,M500304,4,2
8,3,OP3,M500316,8,2
9,1,OP3,M500316,7,2
9,1,OP7,M500309,1,2
9,1,OP4,M500324,10,3
9,1,OP8,M500324,10,3
9,2,OP4,M500324,10,3
9,2,OP8,M500324,2,3
9,3,OP4,M500319,10,3
9,3,OP8,M500319,5,3
9,3,OP6,M502026,1,3
10,1,OP4,M500317,5,4
10,2,OP4,M500317,5,4
10,3,OP4,M500317,4,4
10,3,OP6,M502239,4,4
10,3,OP5,M500329,4,4
11,1,OP4,M500318,4,4
11,1,OP5,M500327,4,5
11,2,OP5,M500327,4,5
11,3,OP5,M500327,4,5
12,1,OP5,M500311,5,5
12,2,OP5,M500311,1,5
12,3,OP5,M500328,4,5
13,1,OP5,M500328,4,5
13,2,OP5,M500328,1,5
