Jour,Shift,Opérateur,Item,Quantité,Priorité EDD
1,1,OP1,M400228,3.0,1
1,2,OP1,M400228,3.0,1
1,3,OP1,M400228,3.0,1
2,1,OP1,M400228,3.0,1
2,2,OP2,M400228,3.0,1
2,3,OP2,M400228,3.0,1
3,1,OP2,M400228,3.0,1
3,2,OP2,M400228,3.0,1
3,3,OP8,M400228,3.0,1
4,1,OP8,M400228,3.0,1
4,2,OP8,M400228,3.0,1
4,3,OP8,M400228,2.0,1
5,1,OP1,M400229,3.0,1
5,2,OP1,M400229,3.0,1
5,3,OP1,M400229,3.0,1
6,1,OP1,M400229,3.0,1
6,2,OP1,M400229,3.0,1
6,3,OP1,M400229,2.0,1
7,1,OP2,M400229,3.0,1
7,2,OP2,M400229,3.0,1
7,3,OP2,M400229,3.0,1
8,1,OP2,M400229,3.0,1
8,2,OP2,M400229,3.0,1
8,3,OP2,M400229,1.0,1
9,1,OP1,M400201,2.0,1
9,2,OP1,M400201,2.0,1
9,3,OP1,M400201,2.0,1
10,1,OP1,M400201,2.0,1
10,2,OP1,M400201,2.0,1
10,3,OP1,M400201,1.0,1
11,1,OP2,M400201,2.0,1
11,2,OP2,M400201,2.0,1
11,3,OP2,M400201,2.0,1
12,1,OP2,M400201,2.0,1
12,2,OP2,M400201,2.0,1
12,3,OP2,M400201,1.0,1
13,1,OP1,M400200,2.0,1
13,2,OP1,M400200,2.0,1
13,3,OP1,M400200,2.0,1
14,1,OP1,M400200,2.0,1
14,2,OP1,M400200,2.0,1
14,3,OP1,M400200,2.0,1
15,1,OP1,M400200,2.0,1
15,2,OP1,M400200,2.0,1
15,3,OP1,M400200,2.0,1
16,1,OP1,M400200,1.0,1
16,2,OP3,M500325,4.0,2
16,3,OP3,M500325,4.0,2
17,1,OP3,M500325,4.0,2
17,2,OP3,M500325,4.0,2
17,3,OP3,M500325,4.0,2
18,1,OP3,M500304,6.0,2
18,2,OP3,M500304,6.0,2
18,3,OP3,M500304,4.0,2
19,1,OP3,M500316,8.0,2
19,2,OP3,M500316,7.0,2
19,3,OP3,M500309,1.0,2
20,1,OP4,M500324,10.0,3
20,2,OP4,M500324,6.0,3
20,3,OP8,M500324,10.0,3
21,1,OP8,M500324,6.0,3
21,2,OP4,M500319,10.0,3
21,3,OP4,M500319,5.0,3
22,1,OP6,M502026,1.0,3
22,2,OP4,M500317,5.0,4
22,3,OP4,M500317,5.0,4
23,1,OP4,M500317,4.0,4
23,2,OP6,M502239,4.0,4
23,3,OP5,M500329,4.0,4
24,1,OP4,M500318,4.0,4
24,2,OP5,M500327,4.0,5
24,3,OP5,M500327,4.0,5
25,1,OP5,M500327,4.0,5
25,2,OP5,M500311,5.0,5
25,3,OP5,M500311,1.0,5
26,1,OP5,M500328,4.0,5
26,2,OP5,M500328,4.0,5
26,3,OP5,M500328,1.0,5
