Rang,Item,Quantité,Capacité/shift,Cycle Time (h),Efficience,Charge (heures),Shifts nécessaires,Priorité EDD,Date début,Shifts complets,Shift partiel (h)
1,M400228,35,3,5.2,1.0,182.0,24.27,1,2026-02-24,24,2.0
2,M400229,33,3,5.2,1.0,171.6,22.88,1,2026-03-09,22,6.6
3,M400201,22,2,4.95,1.0,108.9,14.52,1,2026-03-21,14,3.9
4,M400200,19,2,2.0,1.0,38.0,5.07,1,2026-03-29,5,0.5
5,M500325,20,4,2.25,1.0,45.0,6.0,2,2026-04-01,6,0.0
6,M500304,16,6,2.25,1.0,36.0,4.8,2,2026-04-04,4,6.0
7,M500316,15,8,2.25,1.0,33.75,4.5,2,2026-04-07,4,3.75
8,M500309,1,20,2.85,1.0,2.85,0.38,2,2026-04-10,0,2.85
9,M500324,32,10,1.95,1.0,62.4,8.32,3,2026-04-11,8,2.4
10,M500319,15,10,1.95,1.0,29.25,3.9,3,2026-04-16,3,6.75
11,M502026,1,8,2.25,1.0,2.25,0.3,3,2026-04-18,0,2.25
12,M500317,14,5,2.25,1.0,31.5,4.2,4,2026-04-19,4,1.5
13,M502239,4,8,2.85,1.0,11.4,1.52,4,2026-04-22,1,3.9
14,M500329,4,8,2.7,1.0,10.8,1.44,4,2026-04-23,1,3.3
15,M500318,4,10,1.95,1.0,7.8,1.04,4,2026-04-24,1,0.3
16,M500327,12,4,5.2,1.0,62.4,8.32,5,2026-04-25,8,2.4
17,M500311,6,5,5.2,1.0,31.2,4.16,5,2026-04-30,4,1.2
18,M500328,9,4,2.25,1.0,20.25,2.7,5,2026-05-03,2,5.25
