JOUR,SHIFT,OPÉRATEUR,ITEM,QUANTITÉ,TEMPS (h)
1,1,OP01,M400200,1,4.69
1,1,OP02,M400201,1,4.69
1,1,OP03,M400228,2,6.25
1,1,OP04,M400229,2,6.25
1,1,OP05,REPOS,0,0.0
1,1,OP06,REPOS,0,0.0
1,1,OP07,REPOS,0,0.0
1,1,OP08,REPOS,0,0.0
1,1,OP09,REPOS,0,0.0
1,1,OP10,REPOS,0,0.0
1,1,OP11,REPOS,0,0.0
1,1,OP12,REPOS,0,0.0
1,1,OP13,REPOS,0,0.0
1,1,OP14,REPOS,0,0.0
1,2,OP01,M400200,1,4.69
1,2,OP02,M400201,1,4.69
1,2,OP03,M400228,2,6.25
1,2,OP04,M400229,2,6.25
1,2,OP05,M500304,4,6.25
1,2,OP06,M500317,4,7.5
1,2,OP07,M500324,4,6.25
1,2,OP08,M500325,3,7.03
1,2,OP09,M500327,3,7.03
1,2,OP10,REPOS,0,0.0
1,2,OP11,REPOS,0,0.0
1,2,OP12,REPOS,0,0.0
1,2,OP13,REPOS,0,0.0
1,2,OP14,REPOS,0,0.0
1,3,OP01,M400200,1,4.69
1,3,OP02,M400201,1,4.69
1,3,OP03,M400228,2,6.25
1,3,OP04,M400229,2,6.25
1,3,OP05,M500323,4,7.5
1,3,OP06,REPOS,0,0.0
1,3,OP07,REPOS,0,0.0
1,3,OP08,REPOS,0,0.0
1,3,OP09,REPOS,0,0.0
1,3,OP10,REPOS,0,0.0
1,3,OP11,REPOS,0,0.0
1,3,OP12,REPOS,0,0.0
1,3,OP13,REPOS,0,0.0
1,3,OP14,REPOS,0,0.0
2,1,OP01,M400200,1,4.69
2,1,OP02,M400201,1,4.69
2,1,OP03,M400228,2,6.25
2,1,OP04,M400229,2,6.25
2,1,OP05,M500311,4,7.5
2,1,OP06,M500312,8,7.5
2,1,OP07,M500313,8,7.5
2,1,OP08,M500318,8,7.5
2,1,OP09,M500319,8,7.5
2,1,OP10,M500324,4,6.25
2,1,OP11,REPOS,0,0.0
2,1,OP12,REPOS,0,0.0
2,1,OP13,REPOS,0,0.0
2,1,OP14,REPOS,0,0.0
2,2,OP01,M400200,1,4.69
2,2,OP02,M400201,1,4.69
2,2,OP03,M400228,2,6.25
2,2,OP04,M400229,2,6.25
2,2,OP05,M500304,4,6.25
2,2,OP06,M500317,4,7.5
2,2,OP07,M500325,3,7.03
2,2,OP08,M500327,3,7.03
2,2,OP09,M500328,6,7.03
2,2,OP10,REPOS,0,0.0
2,2,OP11,REPOS,0,0.0
2,2,OP12,REPOS,0,0.0
2,2,OP13,REPOS,0,0.0
2,2,OP14,REPOS,0,0.0
2,3,OP01,M400200,1,4.69
2,3,OP02,M400201,1,4.69
2,3,OP03,M400228,2,6.25
2,3,OP04,M400229,2,6.25
2,3,OP05,M500324,4,6.25
2,3,OP06,REPOS,0,0.0
2,3,OP07,REPOS,0,0.0
2,3,OP08,REPOS,0,0.0
2,3,OP09,REPOS,0,0.0
2,3,OP10,REPOS,0,0.0
2,3,OP11,REPOS,0,0.0
2,3,OP12,REPOS,0,0.0
2,3,OP13,REPOS,0,0.0
2,3,OP14,REPOS,0,0.0
3,1,OP01,M400200,1,4.69
3,1,OP02,M400201,1,4.69
3,1,OP03,M400228,2,6.25
3,1,OP04,M400229,2,6.25
3,1,OP05,M500330,4,6.25
3,1,OP06,REPOS,0,0.0
3,1,OP07,REPOS,0,0.0
3,1,OP08,REPOS,0,0.0
3,1,OP09,REPOS,0,0.0
3,1,OP10,REPOS,0,0.0
3,1,OP11,REPOS,0,0.0
3,1,OP12,REPOS,0,0.0
3,1,OP13,REPOS,0,0.0
3,1,OP14,REPOS,0,0.0
3,2,OP01,M400200,1,4.69
3,2,OP02,M400201,1,4.69
3,2,OP03,M400228,2,6.25
3,2,OP04,M400229,2,6.25
3,2,OP05,M500304,4,6.25
3,2,OP06,M500317,4,7.5
3,2,OP07,M500323,4,7.5
3,2,OP08,M500324,4,6.25
3,2,OP09,M500325,3,7.03
3,2,OP10,M500327,3,7.03
3,2,OP11,M500329,8,7.5
3,2,OP12,REPOS,0,0.0
3,2,OP13,REPOS,0,0.0
3,2,OP14,REPOS,0,0.0
3,3,OP01,M400200,1,4.69
3,3,OP02,M400201,1,4.69
3,3,OP03,M400228,2,6.25
3,3,OP04,M400229,2,6.25
3,3,OP05,REPOS,0,0.0
3,3,OP06,REPOS,0,0.0
3,3,OP07,REPOS,0,0.0
3,3,OP08,REPOS,0,0.0
3,3,OP09,REPOS,0,0.0
3,3,OP10,REPOS,0,0.0
3,3,OP11,REPOS,0,0.0
3,3,OP12,REPOS,0,0.0
3,3,OP13,REPOS,0,0.0
3,3,OP14,REPOS,0,0.0
4,1,OP01,M400200,1,4.69
4,1,OP02,M400201,1,4.69
4,1,OP03,M400228,2,6.25
4,1,OP04,M400229,2,6.25
4,1,OP05,M500312,8,7.5
4,1,OP06,M500318,8,7.5
4,1,OP07,M500319,8,7.5
4,1,OP08,M500324,4,6.25
4,1,OP09,REPOS,0,0.0
4,1,OP10,REPOS,0,0.0
4,1,OP11,REPOS,0,0.0
4,1,OP12,REPOS,0,0.0
4,1,OP13,REPOS,0,0.0
4,1,OP14,REPOS,0,0.0
4,2,OP01,M400200,1,4.69
4,2,OP02,M400201,1,4.69
4,2,OP03,M400228,2,6.25
4,2,OP04,M400229,2,6.25
4,2,OP05,M500304,4,6.25
4,2,OP06,M500311,4,7.5
4,2,OP07,M500313,8,7.5
4,2,OP08,M500317,4,7.5
4,2,OP09,M500325,3,7.03
4,2,OP10,M500327,3,7.03
4,2,OP11,REPOS,0,0.0
4,2,OP12,REPOS,0,0.0
4,2,OP13,REPOS,0,0.0
4,2,OP14,REPOS,0,0.0
4,3,OP01,M400200,1,4.69
4,3,OP02,M400201,1,4.69
4,3,OP03,M400228,2,6.25
4,3,OP04,M400229,2,6.25
4,3,OP05,M500324,4,6.25
4,3,OP06,REPOS,0,0.0
4,3,OP07,REPOS,0,0.0
4,3,OP08,REPOS,0,0.0
4,3,OP09,REPOS,0,0.0
4,3,OP10,REPOS,0,0.0
4,3,OP11,REPOS,0,0.0
4,3,OP12,REPOS,0,0.0
4,3,OP13,REPOS,0,0.0
4,3,OP14,REPOS,0,0.0
5,1,OP01,M400200,1,4.69
5,1,OP02,M400201,1,4.69
5,1,OP03,M400228,2,6.25
5,1,OP04,M400229,2,6.25
5,1,OP05,M500323,4,7.5
5,1,OP06,M500328,6,7.03
5,1,OP07,REPOS,0,0.0
5,1,OP08,REPOS,0,0.0
5,1,OP09,REPOS,0,0.0
5,1,OP10,REPOS,0,0.0
5,1,OP11,REPOS,0,0.0
5,1,OP12,REPOS,0,0.0
5,1,OP13,REPOS,0,0.0
5,1,OP14,REPOS,0,0.0
5,2,OP01,M400200,1,4.69
5,2,OP02,M400201,1,4.69
5,2,OP03,M400228,2,6.25
5,2,OP04,M400229,2,6.25
5,2,OP05,M500304,4,6.25
5,2,OP06,M500317,4,7.5
5,2,OP07,M500324,4,6.25
5,2,OP08,M500325,3,7.03
5,2,OP09,M500327,3,7.03
5,2,OP10,REPOS,0,0.0
5,2,OP11,REPOS,0,0.0
5,2,OP12,REPOS,0,0.0
5,2,OP13,REPOS,0,0.0
5,2,OP14,REPOS,0,0.0
5,3,OP01,M400200,1,4.69
5,3,OP02,M400201,1,4.69
5,3,OP03,M400228,2,6.25
5,3,OP04,M400229,2,6.25
5,3,OP05,REPOS,0,0.0
5,3,OP06,REPOS,0,0.0
5,3,OP07,REPOS,0,0.0
5,3,OP08,REPOS,0,0.0
5,3,OP09,REPOS,0,0.0
5,3,OP10,REPOS,0,0.0
5,3,OP11,REPOS,0,0.0
5,3,OP12,REPOS,0,0.0
5,3,OP13,REPOS,0,0.0
5,3,OP14,REPOS,0,0.0
6,1,OP01,M400200,1,4.69
6,1,OP02,M400201,1,4.69
6,1,OP03,M400228,2,6.25
6,1,OP04,M400229,2,6.25
6,1,OP05,M500312,8,7.5
6,1,OP06,M500318,8,7.5
6,1,OP07,M500319,8,7.5
6,1,OP08,M500324,4,6.25
6,1,OP09,REPOS,0,0.0
6,1,OP10,REPOS,0,0.0
6,1,OP11,REPOS,0,0.0
6,1,OP12,REPOS,0,0.0
6,1,OP13,REPOS,0,0.0
6,1,OP14,REPOS,0,0.0
6,2,OP01,M400200,1,4.69
6,2,OP02,M400201,1,4.69
6,2,OP03,M400228,2,6.25
6,2,OP04,M400229,2,6.25
6,2,OP05,M500304,4,6.25
6,2,OP06,M500317,4,7.5
6,2,OP07,M500325,3,7.03
6,2,OP08,M500327,3,7.03
6,2,OP09,REPOS,0,0.0
6,2,OP10,REPOS,0,0.0
6,2,OP11,REPOS,0,0.0
6,2,OP12,REPOS,0,0.0
6,2,OP13,REPOS,0,0.0
6,2,OP14,REPOS,0,0.0
6,3,OP01,M400200,1,4.69
6,3,OP02,M400201,1,4.69
6,3,OP03,M400228,2,6.25
6,3,OP04,M400229,2,6.25
6,3,OP05,M500311,4,7.5
6,3,OP06,M500313,8,7.5
6,3,OP07,M500323,4,7.5
6,3,OP08,M500324,4,6.25
6,3,OP09,REPOS,0,0.0
6,3,OP10,REPOS,0,0.0
6,3,OP11,REPOS,0,0.0
6,3,OP12,REPOS,0,0.0
6,3,OP13,REPOS,0,0.0
6,3,OP14,REPOS,0,0.0
7,1,OP01,M400200,1,4.69
7,1,OP02,M400201,1,4.69
7,1,OP03,M400228,2,6.25
7,1,OP04,M400229,2,6.25
7,1,OP05,M500330,4,6.25
7,1,OP06,REPOS,0,0.0
7,1,OP07,REPOS,0,0.0
7,1,OP08,REPOS,0,0.0
7,1,OP09,REPOS,0,0.0
7,1,OP10,REPOS,0,0.0
7,1,OP11,REPOS,0,0.0
7,1,OP12,REPOS,0,0.0
7,1,OP13,REPOS,0,0.0
7,1,OP14,REPOS,0,0.0
7,2,OP01,M400200,1,4.69
7,2,OP02,M400201,1,4.69
7,2,OP03,M400228,2,6.25
7,2,OP04,M400229,2,6.25
7,2,OP05,M500304,4,6.25
7,2,OP06,M500317,4,7.5
7,2,OP07,M500324,4,6.25
7,2,OP08,M500325,3,7.03
7,2,OP09,M500327,3,7.03
7,2,OP10,REPOS,0,0.0
7,2,OP11,REPOS,0,0.0
7,2,OP12,REPOS,0,0.0
7,2,OP13,REPOS,0,0.0
7,2,OP14,REPOS,0,0.0
7,3,OP01,M400200,1,4.69
7,3,OP02,M400201,1,4.69
7,3,OP03,M400228,2,6.25
7,3,OP04,M400229,2,6.25
7,3,OP05,M500328,6,7.03
7,3,OP06,REPOS,0,0.0
7,3,OP07,REPOS,0,0.0
7,3,OP08,REPOS,0,0.0
7,3,OP09,REPOS,0,0.0
7,3,OP10,REPOS,0,0.0
7,3,OP11,REPOS,0,0.0
7,3,OP12,REPOS,0,0.0
7,3,OP13,REPOS,0,0.0
7,3,OP14,REPOS,0,0.0
8,1,OP01,M400200,1,4.69
8,1,OP02,M400201,1,4.69
8,1,OP03,M400228,2,6.25
8,1,OP04,M400229,2,6.25
8,1,OP05,M500312,8,7.5
8,1,OP06,M500318,8,7.5
8,1,OP07,M500319,8,7.5
8,1,OP08,M500324,4,6.25
8,1,OP09,REPOS,0,0.0
8,1,OP10,REPOS,0,0.0
8,1,OP11,REPOS,0,0.0
8,1,OP12,REPOS,0,0.0
8,1,OP13,REPOS,0,0.0
8,1,OP14,REPOS,0,0.0
8,2,OP01,M400200,1,4.69
8,2,OP02,M400201,1,4.69
8,2,OP03,M400228,2,6.25
8,2,OP04,M400229,2,6.25
8,2,OP05,M500304,4,6.25
8,2,OP06,M500317,4,7.5
8,2,OP07,M500323,4,7.5
8,2,OP08,M500325,3,7.03
8,2,OP09,M500327,3,7.03
8,2,OP10,M500329,8,7.5
8,2,OP11,REPOS,0,0.0
8,2,OP12,REPOS,0,0.0
8,2,OP13,REPOS,0,0.0
8,2,OP14,REPOS,0,0.0
8,3,OP01,M400200,1,4.69
8,3,OP02,M400201,1,4.69
8,3,OP03,M400228,2,6.25
8,3,OP04,M400229,2,6.25
8,3,OP05,M500324,4,6.25
8,3,OP06,REPOS,0,0.0
8,3,OP07,REPOS,0,0.0
8,3,OP08,REPOS,0,0.0
8,3,OP09,REPOS,0,0.0
8,3,OP10,REPOS,0,0.0
8,3,OP11,REPOS,0,0.0
8,3,OP12,REPOS,0,0.0
8,3,OP13,REPOS,0,0.0
8,3,OP14,REPOS,0,0.0
9,1,OP01,M400200,1,4.69
9,1,OP02,M400201,1,4.69
9,1,OP03,M400228,2,6.25
9,1,OP04,M400229,2,6.25
9,1,OP05,M500311,4,7.5
9,1,OP06,M500313,8,7.5
9,1,OP07,REPOS,0,0.0
9,1,OP08,REPOS,0,0.0
9,1,OP09,REPOS,0,0.0
9,1,OP10,REPOS,0,0.0
9,1,OP11,REPOS,0,0.0
9,1,OP12,REPOS,0,0.0
9,1,OP13,REPOS,0,0.0
9,1,OP14,REPOS,0,0.0
9,2,OP01,M400200,1,4.69
9,2,OP02,M400201,1,4.69
9,2,OP03,M400228,2,6.25
9,2,OP04,M400229,2,6.25
9,2,OP05,M500304,4,6.25
9,2,OP06,M500317,4,7.5
9,2,OP07,M500324,4,6.25
9,2,OP08,M500325,3,7.03
9,2,OP09,M500327,3,7.03
9,2,OP10,REPOS,0,0.0
9,2,OP11,REPOS,0,0.0
9,2,OP12,REPOS,0,0.0
9,2,OP13,REPOS,0,0.0
